Content;Content Specificity;1;;This goal has a clearly defined outcome or final state.;Inhalt;Spezifizität des Inhalts;Dieses Ziel hat ein klar definiertes Ergebnis oder einen klar definierten Endzustand.
;;2;R;I am not sure where this goal will lead me.;;;Ich bin mir nicht sicher, wohin mich dieses Ziel führen wird.
;;3;;This goal is related to concrete actions.;;;Dieses Ziel hängt mit konkreten Aktionen zusammen.
;;4;R;The outcome or final state of this goal is only vaguely defined.;;;Das Ergebnis oder der Endzustand dieses Ziels ist nur vage definiert.
;;5;R;This goal only has a broad definition of the outcome or final state.;;;Dieses Ziel hat nur eine ungefähre Definition des Ergebnisses oder des Endzustands.
;;6;R;I cannot describe this goal precisely.;;;Ich kann dieses Ziel nicht exakt beschreiben.
;Time Specificity;7;R;I don't have a target date for when I want to attain this goal.;;Zeitliche Spezifizität;Ich habe kein Zieldatum, an dem ich dieses Ziel erreichen möchte.
;;8;;I have a clear deadline by which I want to attain this goal.;;;Ich habe eine klare Frist, bis zu der ich dieses Ziel erreichen möchte.
;;9;;I intend to achieve this goal within a specific amount of time.;;;Ich beabsichtige dieses Ziel innerhalb einer bestimmten Zeitspanne zu erreichen.
;;10;;This goal should be achieved by a specific time.;;;Dieses Ziel sollte zu einem bestimmten Zeitpunkt erreicht sein.
;Hierarchy - High Level;11;;This goal is an overall ambition in my life.;;Hierarchie - Hoch;Bei diesem Ziel geht es um eine allgemeine Ambition in meinem Leben.
;;12;;This goal provides guidance for my decisions and behaviors.;;;Dieses Ziel gibt Leitlinien für meine Entscheidungen und Verhaltensweisen.
;;13;;To achieve this goal, I need to work on subgoals.;;;Um dieses Ziel zu erreichen muss ich an Teilzielen arbeiten.
;;14;;This goal is an aspiration in my life.;;;Dieses Ziel ist ein grundlegender Antrieb in meinem Leben.
;;15;;To reach this goal I need to reach many subgoals.;;;Um dieses Ziel zu erreichen muss ich viele Teilziele erreichen.
;Hierarchy - Low Level;16;;This goal is a means to a higher goal.;;Hierarchie - Niedrig;Dieses Ziel ist ein Mittel zu einem höheren Ziel.
;;17;;This goal is just a part of a plan to achieve something bigger in my life.;;;Dieses Ziel ist nur ein Teil eines Plans, um etwas Größeres in meinem Leben zu erreichen.
;;18;;This goal is a step toward a greater goal.;;;Dieses Ziel ist ein Schritt in Richtung eines größeren Ziels.
;;19;;To achieve a larger goal in my life, I need to achieve this one first.;;;Um ein größeres Ziel in meinem Leben zu erreichen, muss ich dieses zuerst erreichen.
;Goal Network Congruence;20;R;This goal has no relation to my other goals.;;Kongruenz mit Zielnetzwerk;Dieses Ziel hat keinen Zusammenhang mit meinen anderen Zielen.
;;21;;This goal is related to other goals I am currently working on in my life.;;;Dieses Ziel hängt mit anderen Zielen zusammen, an denen ich derzeit in meinem Leben arbeite.
;;22;;This is a central goal related to many other goals that I am pursuing.;;;Dies ist ein zentrales Ziel im Zusammenhang mit vielen anderen Zielen, die ich verfolge.
;;23;R;To work on this goal, I need to give up other goals I have.;;;Um an diesem Ziel zu arbeiten, muss ich andere Ziele aufgeben, die ich habe.
;Measurability;24;;It's easy to keep track of how far I am from achieving this goal.;;Messbarkeit;Es ist einfach zu verfolgen wie weit ich von diesem Ziel entfernt bin.
;;25;;It's possible to maintain a record of how close I am to achieving this goal.;;;Es ist möglich aufzuzeichnen wie nahe ich dem Erreichen dieses Ziels bin.
;;26;;My progress toward this goal can be regularly measured.;;;Mein Fortschritt in Richtung dieses Ziels kann regelmäßig gemessen werden.
;;27;;My progress toward this goal can be tracked with objective measurements.;;;Mein Fortschritt in diesem Ziel kann mit objektiven Messungen verfolgt werden.
;;28;;It's possible to compare my progress toward this goal over time.;;;Es ist möglich, meinen Fortschritt zu diesem Ziel über die Zeit zu vergleichen.
Framing;Approach-Avoidance Framing;29;R;This goal is about avoiding a behavior, situation, or outcome.;Rahmung(??);Approach-Avoidance Framing;Dieses Ziel hat damit zu tun ein Verhalten, eine Situation oder ein Ergebnis zu vermeiden.
;;30;R;This goal is about something that makes me feel bad.;;;Bei diesem Ziel geht es um etwas, bei dem ich mich schlecht fühle.
;;31;R;This goal is all about preventing something bad from happening.;;;Bei diesem Ziel geht es darum zu verhindern, dass etwas Schlimmes passiert.
;;32;;This goal is about something I want to do, rather than something I want to avoid.;;;Bei diesem Ziel geht es um etwas, das ich tun möchte, und nicht um etwas, das ich vermeiden möchte.
;;33;;This goal is about something positive, rather than something I want to prevent from happening.;;;Bei diesem Ziel geht es eher um etwas Positives als um etwas, das ich verhindern möchte.
;;34;;This goal is about aiming for a desired state, rather thwarting a negative one.;;;Bei diesem Ziel geht es um einen gewünschten Zustand, und nicht um die Vermeidung eines Negativen.
;;35;R;This goal is about staying away from something upsetting.;;;Bei diesem Ziel geht es darum, sich von etwas Ärgerlichem fernzuhalten.
;Maintenance-Attainment Goal;36;;This goal is about keeping things as good as they are now.;;;Bei diesem Ziel geht es darum, die Dinge so gut zu erhalten, wie sie jetzt sind.
;;37;;This goal is about maintaing a state, rather than about achieving that state once.;;;Bei diesem Ziel geht es eher darum, einen Zustand aufrechtzuerhalten, als darum, einen Zustand einmal zu erreichen.
;;38;;There is not exactly an end to this goal because it I will need to keep working to maintain what I achieve.;;;Dieses Ziel hat nicht wirklich ein Ende, weil ich weiter daran arbeiten muss, zu bewahren was ich erreicht habe.
