Content;Hierarchy - High Level;11;;This goal is an overall ambition in my life.;;Hierarchie - Hoch;Bei diesem Ziel geht es um eine allgemeine Ambition in meinem Leben.
;;12;;This goal provides guidance for my decisions and behaviors.;;;Dieses Ziel gibt Leitlinien für meine Entscheidungen und Verhaltensweisen.
;;13;;To achieve this goal, I need to work on subgoals.;;;Um dieses Ziel zu erreichen muss ich an Teilzielen arbeiten.
;;14;;This goal is an aspiration in my life.;;;Dieses Ziel ist ein grundlegender Antrieb in meinem Leben.
;;15;;To reach this goal I need to reach many subgoals.;;;Um dieses Ziel zu erreichen muss ich viele Teilziele erreichen.
;Hierarchy - Low Level;16;;This goal is a means to a higher goal.;;Hierarchie - Niedrig;Dieses Ziel ist ein Mittel zu einem höheren Ziel.
;;17;;This goal is just a part of a plan to achieve something bigger in my life.;;;Dieses Ziel ist nur ein Teil eines Plans, um etwas Größeres in meinem Leben zu erreichen.
;;18;;This goal is a step toward a greater goal.;;;Dieses Ziel ist ein Schritt in Richtung eines größeren Ziels.
;;19;;To achieve a larger goal in my life, I need to achieve this one first.;;;Um ein größeres Ziel in meinem Leben zu erreichen, muss ich dieses zuerst erreichen.
Framing;Approach-Avoidance Framing;29;R;This goal is about avoiding a behavior, situation, or outcome.;Rahmung(??);Approach-Avoidance Framing;Dieses Ziel hat damit zu tun ein Verhalten, eine Situation oder ein Ergebnis zu vermeiden.
;;30;R;This goal is about something that makes me feel bad.;;;Bei diesem Ziel geht es um etwas, bei dem ich mich schlecht fühle.
;;31;R;This goal is all about preventing something bad from happening.;;;Bei diesem Ziel geht es darum zu verhindern, dass etwas Schlimmes passiert.
;;32;;This goal is about something I want to do, rather than something I want to avoid.;;;Bei diesem Ziel geht es um etwas, das ich tun möchte, und nicht um etwas, das ich vermeiden möchte.
;;33;;This goal is about something positive, rather than something I want to prevent from happening.;;;Bei diesem Ziel geht es eher um etwas Positives als um etwas, das ich verhindern möchte.
;;34;;This goal is about aiming for a desired state, rather thwarting a negative one.;;;Bei diesem Ziel geht es um einen gewünschten Zustand, und nicht um die Vermeidung eines Negativen.
;;35;R;This goal is about staying away from something upsetting.;;;Bei diesem Ziel geht es darum, sich von etwas Ärgerlichem fernzuhalten.
;Process-Outcome Focus;44;;For this goal, the journey is the destination.;;Process-Outcome Focus;Für dieses Ziel ist der Weg das Ziel.
;;45;;This goal is more about a process rather than a outcome.;;;Bei diesem Ziel geht es eher um einen Prozess als um ein Ergebnis.
;;46;R;For this goal, the end justifies the means.;;;Um dieses Ziel zu erreichen, rechtfertigt der Zweck die Mittel.
;;47;;To achieve this goal, I just have to do a certain activity regardless of its outcome.;;;Um dieses Ziel zu erreichen, muss ich nur eine bestimmte Aktivität ausführen, unabhängig von deren Ergebnis.
;;48;R;To achieve this goal, I just have to get a certain result and it doesn't matter how I get it.;;;Um dieses Ziel zu erreichen, muss ich nur ein bestimmtes Ergebnis erzielen, und es spielt keine Rolle, wie ich es bekomme.
;;49;R;For this goal, the end is more important than its means.;;;Für dieses Ziel ist der Ende wichtiger als der Weg..
;;50;;For this goal, I am focusing more on the process than its outcome.;;;Für dieses Ziel konzentriere ich mich mehr auf den Prozess als auf sein Ergebnis.
Interestingness;Self-Congruence;118;R;This goal is not exactly what I wanted to be working on.;Interessantheit;Sellbstkongruenz;Dieses Ziel ist nicht gerade das, woran ich gerne arbeiten würde.
;;119;R;Thinking about this goal makes me feel guilty.;;;Über dieses Ziel nachzudenken führt dazu, dass ich mich schuldig fühle.
;;120;R;I am pursuing this goal because somebody else wants me to.;;;Ich verfolge dieses Ziel, weil es jemand anderes möchte, dass ich das tue.
;;121;;This goal is essential to who I am.;;;Dieses Ziel ist wesentlich dafür, wer ich bin.
;;122;;This goal is congruent with my lifestyle. ;;;Dieses Ziel stimmt mit meinem Lebensgefühl überein.
;;123;;I am not pursuing this goal entirely for its own sake.;;;Ich verfolge dieses Ziel nicht ganz um seiner selbst willen.
;;124;;This goal is part of my identity.;;;Dieses Ziel ist Teil meiner Identität.
;;125;R;I am really not fit for this goal.;;;Dieses Ziel passt nicht dazu wer ich bin.
;;126;R;This goal involves doing things I dislike. ;;;Dieses Ziel beinhaltet Dinge, die ich nicht gerne tue.
;;127;R;This goal is in conflict with my lifestyle.;;;Dieses Ziel steht im Konflikt zu meinem Lebensstil.
;Value Congruence;128;;This goal is coherent with my beliefs.;;Wertekongruenz;Dieses Ziel stimmt mit meinen Überzeugungen überein.
;;129;;This goal is congruent with my dreams.;;;Dieses Ziel stimmt mit meinen Träumen überein.
;;130;;Achieving this goal is in accordance with my ideal self.;;;Dieses Ziel ist in Übereinstimmung mit meinem idealen Selbst.
;;131;;This goal reflects my personal values.;;;Dieses Ziel spiegelt meine persönlichen Werte wider.
;;132;R;This goal is in dissonance with my values.;;;Dieses Ziel steht im Widerspruch zu meinen Werten.
;;133;R;To achieve this goal, I would have to engage in activities that are incongruent with my beliefs.;;;Um dieses Ziel zu erreichen müsste ich Dinge tun, die sich nicht mit meinen Überzeugungen decken.
;;134;R;Achieving this goal would contradict my moral values.;;;Dieses Ziel zu erreichen würde meinen moralischen Werten widersprechen.
;Importance;135;R;I seldom think about this goal.;;Wichtigkeit;Ich denke selten über dieses Ziel nach.
;;136;R;This goal doesn't catch much of my attention.;;;Dieses Ziel zieht nicht viel von meiner Aufmerksamkeit auf sich.
;;137;;Achieving this goal is important to me.;;;Das Erreichen dieses Ziels ist mir wichtig.
;;138;R;I have more important goals to work on than this one.;;;Ich habe wichtigere Ziele, um daran zu arbeiten als dieses.
;;139;R;Whether I achieve this goal or not, doesn't really matter.;;;Ob ich dieses Ziel erreiche oder nicht, spielt eigentlich keine Rolle.
;Awareness;140;R;Apparently, part of me wants to achieve this goal for some reason I don't fully understand.;;Bewusstheit;Anscheinend möchte ein Teil von mir dieses Ziel aus einem Grund erreichen, den ich nicht vollständig verstehe.
;;141;;I am fully aware that I am pursuing this goal.;;;Ich bin mir völlig bewusst, dass ich dieses Ziel verfolge.
;;142;R;I didn't even know I had this goal until I was asked about my goals.;;;Ich wusste nicht einmal, dass ich dieses Ziel hatte, bevor ich gefragt wurde.
;;143;R;I wasn't even aware that I am pursuing this goal until I was asked to think about my goals.;;;Ich war mir nicht einmal bewusst, dass ich dieses Ziel verfolge, bis ich gebeten wurde, über meine Ziele nachzudenken.
;;144;R;I recently became aware of this goal.;;;Dieses Ziel wurde mir kürzlich erst bewusst.
;Vitality/Vigor;145;;Thinking about this goal makes me feel alive and vital.;;Vitalität/Vigor;Wenn ich über dieses Ziel nachdenke, fühle ich mich lebendig und vital.
;;146;R;Thinking about this goal doesn’t make me feel energetic.;;;Wenn ich über dieses Ziel nachdenke, fühle ich mich nicht energiegeladen.
;;147;;I feel full of energy and spirit when I think about this goal.;;;Ich fühle mich voller Energie und Temperament, wenn ich über dieses Ziel nachdenke.
;;148;;When I think about this goal, I look forward to working on it.;;;Wenn ich über dieses Ziel nachdenke, freue ich mich darauf, daran zu arbeiten.
;;149;R;Thinking about this goal makes me feel emotionally drained.;;;Wenn ich über dieses Ziel nachdenke, fühle ich mich emotional ausgelaugt.
;;150;R;Thinking about this goal is boring.;;;Über dieses Ziel nachzudenken ist langweilig.
