"id";"gcq_id";"reverse_coded";"dimension_german";"top_item";"item_text_german";"dimension_explanation_german"
1;1;0;"inhaltliche Spezifizität";1;"Dieses Ziel hat ein klar definiertes Ergebnis oder einen klar definierten Endzustand.";"Inhaltliche Spezifizität beschreibt wie präzise ein Ziel definiert ist. Forschungen von den Organisationspsychologen Latham und Locke haben gezeigt, dass ein präzise definiertes Ziel mit höherer Wahrscheinlichkeit erreicht wird als ein vage definiertes Ziel."
2;10;0;"zeitliche Spezifizität";1;"Dieses Ziel sollte zu einem bestimmten Zeitpunkt erreicht sein.";"Zeitliche Spezifizität beschreibt wie klar der zeitliche Rahmen zur Erreichung eines Zieles definiert ist. Es ist förderlich für die Zielerreichung wenn man sich klare Deadlines setzt. Ebenfalls hilfreich sind „Implementation Intentions“ bei denen man sich schon beim Planen überlegt zu welchem Zeitpunkt man etwas erledigen möchte, idealerweise verknüpft mit einem auslösenden anderen Ereignis."
3;16;0;"hohe Position in Zielhierarchie";1;"Um dieses Ziel zu erreichen, muss ich viele Teilziele erreichen.";"Ein Ziel das hoch in einem Zielsystem steht, ist tendenziell eher abstrakt und umfasst in jedem Fall konkretere Teilziele. Es kann nützlich sein sich zu vergegenwärtigen, dass Ziele miteinander in Beziehung stehen, zumal Ziele um Ressourcen wie Zeit, Aufmerksamkeit und andere mentale Ressourcen konkurrieren.  "
4;19;0;"niedrige Position in Zielhierarchie";1;"Dieses Ziel ist ein Schritt in Richtung eines größeren Ziels.";"Ein Ziel das niedrig in einem Zielsystem steht, ist tendenziell eher konkret und dient in jedem Fall übergeordneten Zielen. Es kann nützlich sein sich zu vergegenwärtigen, dass Ziele miteinander in Beziehung stehen, zumal Ziele um Ressourcen wie Zeit, Aufmerksamkeit und andere mentale Ressourcen konkurrieren.  "
5;22;0;"Kongruenz zu Zielnetzwerk";1;"Dieses Ziel hängt mit anderen Zielen zusammen, an denen ich derzeit in meinem Leben arbeite.";"Die Kongruenz eines Zieles zum Netzwerk von Zielen, die du aktuell verfolgst, gibt an wie gut ein Ziel zu anderen Zielen passt. Das ist deshalb wichtig weil die meisten Menschen mehr (bewusste und unbewusste) Ziele haben, als sie mit ihren Möglichkeiten effektiv verfolgen können. Ein Ziel mit hoher Kongruenz zu anderen Zielen hat eine höhere Wahrscheinlichkeit umgesetzt zu werden."
6;25;0;"Messbarkeit";1;"Es ist einfach zu verfolgen wie weit ich von diesem Ziel entfernt bin.";"Die Messbarkeit des Fortschrittes in Richtung eines Zieles ist ein großer Vorteil bei der Arbeit auf ein Ziel hin. Es kann motivierend sein sich Fortschritte bewusst zu machen und es ist für die Planung nützlich objektiv einschätzen zu können wie der aktuelle Fortschritt ist."
7;33;0;"Annähern vs. Vermeiden";1;"Bei diesem Ziel geht es um etwas, das ich möchte, und nicht um etwas, das ich vermeiden möchte.";"Viele Ziele lassen sich unterschiedlich betrachten. So kann man das Ziel haben sehr gute Noten zu bekommen (sich guten Noten annähern) oder das Ziel schlechte Noten zu vermeiden. Eine positive Orientierung auf etwas, an das man sich annähern möchte, löst oft  positive Gefühle hervor während das Vermeiden von etwas Negativem, Gefühle von beispielsweise Scham hervorrufen kann."
8;39;0;"Erhalten vs. Erreichen";1;"Bei diesem Ziel geht es eher darum, einen Zustand aufrechtzuerhalten, als darum, einen Zustand einmal zu erreichen.";"Es gibt Ziele, die lassen sich erreichen, so wie beispielsweise eine Punktzahl in einer Klausur oder ein Schein. Andere Ziele wie gesunde Ernährung oder Sport zu treiben, sind eher Gewohnheiten, die wir dauerhaft aufrechterhalten müssen. Es ist hilfreich sich diesen Unterschied bewusst zu machen und sich zu überlegen ob man z.B. gute Lerngewohnheiten aufbauen oder „nur“ ein Prüfungsziel erreichen möchte."
9;52;0;"Prozessorientierung vs. Ergebnisorientierung";1;"Bei diesem Ziel konzentriere ich mich mehr auf den Prozess als auf sein Ergebnis.";"Prozessorientierung vs. Ergebnisorientierung beschreibt, worauf sich die Zielformulierung richtet. Oft lassen sich Ziele auf beide Weisen betrachten. Im Falle eines ergebnisorientierten Zieles das uns überfordert (z.B. Mathe bestehen) kann es hilfreich sein das Ziel prozessorientiert umzuformulieren (z.B. Bis zur Klausur jeden Tag 2 Stunden lernen)."
10;58;1;"unmittelbare Umsetzbarkeit";1;"Etwas anderes muss noch passieren, bevor ich an diesem Ziel arbeiten kann.";"Die Unmittelbare Umsetzbarkeit eines Zieles beschreibt, ob es noch Abhängigkeiten von anderen Vorbedingungen gibt. Sollte das der Fall sein, ist es gut sich das klar zu machen und dann entweder die Vorbedingungen zu schaffen oder das Ziel bewusst zu verschieben bis die Umstände stimmen."
11;62;0;"geschätzter Aufwand";1;"Dieses Ziel zu erreichen wird ziemliche Anstrengungen erfordern.";"Der geschätzte Aufwand eines Zieles gibt an wie anstrengend die Arbeit zum Ziel hin voraussichtlich wird. Studien konnten zeigen, dass Ziele die uns fordern, die Leistung steigern können, bis zu dem Punkt der Überforderung. Ein gutes Ziel sollte also möglichst anspruchsvoll sein und uns nicht überfordern."
12;64;1;"Planbarkeit";1;"Es ist schwer einen Plan zu erstellen, um dieses Ziel zu erreichen.";"Die Planbarkeit eines Zieles beschreibt wie gut man in der Lage ist eine Ziel kontrolliert zu verfolgen. Grundsätzlich ist es für die Zielerreichung förderlich zu planen und den Plan kontinuierlich zu pflegen und zu bearbeiten."
