"id";"questionnaire";"code";"text";"scale";"answers";"participant";"timestamp";"given_answer"
1;"cse_pre";"CSE_SWE_1";"Ich bin zuversichtlich, den Erfolg im Leben zu bekommen, den ich verdiene.";"generalized self-efficacy";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.669160+00:00";
2;"cse_post";"CSE_SWE_1";"Ich bin zuversichtlich, den Erfolg im Leben zu bekommen, den ich verdiene.";"generalized self-efficacy";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.671800+00:00";
3;"cse_pre";"CSE_SWE_2";"Wenn ich mich anstrenge, bin ich im Allgemeinen erfolgreich.";"generalized self-efficacy";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.674341+00:00";
4;"cse_post";"CSE_SWE_2";"Wenn ich mich anstrenge, bin ich im Allgemeinen erfolgreich.";"generalized self-efficacy";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.676770+00:00";
5;"cse_pre";"CSE_SWE_3";"Ich erledige Aufgaben erfolgreich.";"generalized self-efficacy";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.679339+00:00";
6;"cse_post";"CSE_SWE_3";"Ich erledige Aufgaben erfolgreich.";"generalized self-efficacy";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.681768+00:00";
7;"cse_pre";"CSE_SWG_1";"Im Großen und Ganzen bin ich mit mir zufrieden.";"self-esteem";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.684281+00:00";
8;"cse_post";"CSE_SWG_1";"Im Großen und Ganzen bin ich mit mir zufrieden.";"self-esteem";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.686723+00:00";
9;"cse_pre";"CSE_SWG_2r";"Ich zweifle an meinen Fähigkeiten.";"self-esteem";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.689229+00:00";
10;"cse_post";"CSE_SWG_2r";"Ich zweifle an meinen Fähigkeiten.";"self-esteem";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.691735+00:00";
