"id";"tree_id";"parent_id";"goal";"participant";"timestamp"
1;1;0;"Austausch mit Kommilitonen ";1;"2020-06-28 12:40:06.983205+00:00"
2;1;1;"Gespräche über Studium ";1;"2020-06-28 12:40:06.986338+00:00"
3;1;1;"Lerngruppen";1;"2020-06-28 12:40:06.989304+00:00"
4;1;2;"Andere Studiengänge ";1;"2020-06-28 12:40:06.992285+00:00"
5;1;2;"Inter CogSci";1;"2020-06-28 12:40:06.995291+00:00"
6;1;3;"Gründen";1;"2020-06-28 12:40:06.998341+00:00"
7;1;3;"Finden";1;"2020-06-28 12:40:07.001301+00:00"
8;1;6;"Gleichgesinnte finden ";1;"2020-06-28 12:40:07.004242+00:00"
9;1;6;"Schwerpunkt finden";1;"2020-06-28 12:40:07.007270+00:00"
10;1;7;"Stud.IP";1;"2020-06-28 12:40:07.010270+00:00"
11;1;7;"Leute fragen";1;"2020-06-28 12:40:07.013290+00:00"
12;1;8;"Leute fragen";1;"2020-06-28 12:40:07.016234+00:00"
13;1;8;"Stud.IP (Antrag stellen)";1;"2020-06-28 12:40:07.019197+00:00"
14;1;9;"Problemerkennung";1;"2020-06-28 12:40:07.022213+00:00"
15;2;0;"Zeitmanagement";1;"2020-06-28 12:40:07.025200+00:00"
16;2;15;"Anwendungssysteme";1;"2020-06-28 12:40:07.028184+00:00"
17;2;15;"Priorisieren";1;"2020-06-28 12:40:07.031145+00:00"
18;2;16;"Sinnvolle Belohnungen";1;"2020-06-28 12:40:07.034118+00:00"
19;2;17;"Informieren ";1;"2020-06-28 12:40:07.037064+00:00"
20;2;17;"Zeiteinteilung (pro Aktivität)";1;"2020-06-28 12:40:07.039996+00:00"
21;2;19;"Internet";1;"2020-06-28 12:40:07.042952+00:00"
22;2;19;"Leute fragen";1;"2020-06-28 12:40:07.045931+00:00"
23;2;20;"Wie viel Zeit brauche ich um mein Ziel zu erreichen?";1;"2020-06-28 12:40:07.049043+00:00"
24;3;0;"Karriereziel finden";2;"2020-06-28 12:40:07.052571+00:00"
25;3;24;"Karriereoptionen evaluieren";2;"2020-06-28 12:40:07.055554+00:00"
26;3;25;"Karriere: Optionen finden";2;"2020-06-28 12:40:07.058497+00:00"
27;3;25;"Priorisierungssystem finden";2;"2020-06-28 12:40:07.061407+00:00"
28;3;25;"Praktika/HiWi-Job";2;"2020-06-28 12:40:07.064288+00:00"
29;3;26;"Vorlesungsinhalte/Studienbereiche aufschreiben";2;"2020-06-28 12:40:07.067199+00:00"
30;3;26;"Erfahrungsberichte finden/erfragen";2;"2020-06-28 12:40:07.070211+00:00"
31;3;26;"Internetrecherche";2;"2020-06-28 12:40:07.073103+00:00"
32;3;27;"Eigene Werte klar kriegen";2;"2020-06-28 12:40:07.076066+00:00"
33;4;0;"Karriereziel erreichen";2;"2020-06-28 12:40:07.079005+00:00"
34;4;33;"Qualifikationen erreichen";2;"2020-06-28 12:40:07.081941+00:00"
35;4;33;"Bewerbung";2;"2020-06-28 12:40:07.084855+00:00"
36;4;34;"Studienabschluss erreichen";2;"2020-06-28 12:40:07.087809+00:00"
37;4;34;"Zusatzqualifikationen aneignen ";2;"2020-06-28 12:40:07.091104+00:00"
38;4;35;"Bewerbungsunterlagen vorbereiten";2;"2020-06-28 12:40:07.095521+00:00"
39;4;35;"Vorstellungsgespräch vorbereiten";2;"2020-06-28 12:40:07.098808+00:00"
40;4;36;"Relevante Kurse belegen und bestehen";2;"2020-06-28 12:40:07.101818+00:00"
41;4;36;"Studienarbeit finden und schreiben und bestehen";2;"2020-06-28 12:40:07.104788+00:00"
42;4;37;"Softskills: Teamarbeit, Management, Präsentieren";2;"2020-06-28 12:40:07.107912+00:00"
43;4;37;"Hinführende Jobs ausüben";2;"2020-06-28 12:40:07.110971+00:00"
44;4;37;"Praktika";2;"2020-06-28 12:40:07.114049+00:00"
45;4;42;"Weiterbildungskurse an der Uni";2;"2020-06-28 12:40:07.116958+00:00"
46;5;0;"HiWi-Job finden";2;"2020-06-28 12:40:07.119951+00:00"
47;5;46;"Bewerbung";2;"2020-06-28 12:40:07.122883+00:00"
48;5;46;"Interessensgebiete festlegen";2;"2020-06-28 12:40:07.125857+00:00"
49;5;46;"Offene Stellen finden";2;"2020-06-28 12:40:07.128794+00:00"
219;17;0;"asdfasdf";12;"2020-06-28 12:40:52.498722+00:00"
224;20;223;"asdf";12;"2020-06-28 12:41:10.481904+00:00"
229;21;228;"Prof anrufen";13;"2020-07-01 16:27:49.682480+00:00"
234;21;227;"regelmäßg schreiben";13;"2020-07-01 16:32:41.108319+00:00"
239;25;0;"Mein Studienziel";14;"2020-07-03 15:12:29.225107+00:00"
244;27;241;"Gute Entlohnung";15;"2020-07-03 15:18:16.179044+00:00"
249;30;0;"Mein Studienziel";15;"2020-07-03 15:19:07.345878+00:00"
254;31;250;"Semester 4";16;"2020-07-03 15:30:27.417141+00:00"
259;31;252;"Rechtzeitig anfangen zu lernen ";16;"2020-07-03 15:32:52.444463+00:00"
264;31;252;"Lerngruppen bilden";16;"2020-07-03 15:34:43.608065+00:00"
269;32;0;"Mein Studienziel";16;"2020-07-03 15:36:13.891276+00:00"
274;33;272;"Interessante Bereiche finden ";16;"2020-07-03 15:38:04.413646+00:00"
279;34;277;"Promotionsstelle gefunden ";16;"2020-07-03 15:40:04.806220+00:00"
283;35;281;"Studienstadt festlegen ";18;"2020-07-03 16:10:01.522534+00:00"
293;36;291;"Kolloquium ";19;"2020-07-03 16:36:09.069552+00:00"
288;36;286;"Präsentationen  halten ";19;"2020-07-03 16:32:31.976675+00:00"
298;40;297;"Job finden";20;"2020-07-03 16:57:08.888175+00:00"
50;5;47;"Lebenslauf und Anschreiben";2;"2020-06-28 12:40:07.131770+00:00"
51;5;49;"Zeugnisse und Zertifikate sammeln";2;"2020-06-28 12:40:07.134842+00:00"
52;5;49;"Institutionsseiten abklappern";2;"2020-06-28 12:40:07.137777+00:00"
53;5;49;"Professoren fragen";2;"2020-06-28 12:40:07.140767+00:00"
54;5;49;"Uni-Einrichtungen abklappern";2;"2020-06-28 12:40:07.143733+00:00"
55;6;0;"Struktur";4;"2020-06-28 12:40:07.147767+00:00"
56;6;55;"Zeitmanagement";4;"2020-06-28 12:40:07.150685+00:00"
57;6;55;"Bereiche";4;"2020-06-28 12:40:07.153504+00:00"
58;6;56;"Übersichtsplan (bspw. To-Do Listen, Mind-Maps)";4;"2020-06-28 12:40:07.156253+00:00"
59;6;57;"Studium";4;"2020-06-28 12:40:07.159091+00:00"
60;6;57;"Privat";4;"2020-06-28 12:40:07.161876+00:00"
61;6;58;"Zielformulierung in Hierarchien ";4;"2020-06-28 12:40:07.164653+00:00"
62;6;58;"Schreiben von Tages To-Do's";4;"2020-06-28 12:40:07.167471+00:00"
63;6;58;"Regelmäßige Reflektion der Ziele/Herangehensweise";4;"2020-06-28 12:40:07.170297+00:00"
64;6;59;"Prüfungsvorbereitung Vorlesungs-/Seminarvorbereitung";4;"2020-06-28 12:40:07.173126+00:00"
65;6;59;"Klare Abgrenzung zwischen Studienzeit und privater Zeit";4;"2020-06-28 12:40:07.175938+00:00"
66;6;62;"Feste ""Verabredung""/Zeiten blocken";4;"2020-06-28 12:40:07.178760+00:00"
67;6;63;"Wie? Belohnungsstrategien entwickeln";4;"2020-06-28 12:40:07.181563+00:00"
68;6;64;"Regelmäßige Beschäftigung mit Kursmaterialien";4;"2020-06-28 12:40:07.184321+00:00"
69;6;64;"Austausch mit Anderen";4;"2020-06-28 12:40:07.187142+00:00"
70;6;65;"Zeitmanagement von Uni-Zielen und privaten Zielen";4;"2020-06-28 12:40:07.189892+00:00"
71;6;69;"Lerngruppen, Diskussionsgruppen";4;"2020-06-28 12:40:07.192663+00:00"
72;7;0;"Klimaneutralität";5;"2020-06-28 12:40:07.195971+00:00"
73;7;72;"Spenden/Unterstützung";5;"2020-06-28 12:40:07.198897+00:00"
74;7;72;"Klimafreundliche Ernährung ";5;"2020-06-28 12:40:07.201717+00:00"
75;7;72;"Konsum schmälern";5;"2020-06-28 12:40:07.204474+00:00"
76;7;73;"Informieren meines sozialen Umkreises";5;"2020-06-28 12:40:07.207228+00:00"
77;7;73;"Unweltorganisation (Atmosfair) unterstützen ";5;"2020-06-28 12:40:07.211788+00:00"
78;7;73;"Müllsammelaktionen organisieren";5;"2020-06-28 12:40:07.215097+00:00"
79;7;73;"Demonstrieren";5;"2020-06-28 12:40:07.218428+00:00"
80;7;74;"Recherche von verschiedenen Quellen";5;"2020-06-28 12:40:07.221533+00:00"
81;7;75;"Effektiver Verbrauch";5;"2020-06-28 12:40:07.224667+00:00"
82;7;75;"Marktangebot lokalisieren (EU-weit)";5;"2020-06-28 12:40:07.227810+00:00"
83;7;75;"Konsumverhalten überprüfen";5;"2020-06-28 12:40:07.230949+00:00"
84;7;81;"Nicht übertreiben, angemessene Mengen nutzen";5;"2020-06-28 12:40:07.234102+00:00"
85;7;81;"Ungebrauchtes weitergeben";5;"2020-06-28 12:40:07.237231+00:00"
86;7;82;"Internetrecherche";5;"2020-06-28 12:40:07.240422+00:00"
87;7;83;"Unweltfreundlichere Alternativen finden";5;"2020-06-28 12:40:07.243516+00:00"
88;7;83;"Müllproduzenten auf Notwendigkeit überprüfen";5;"2020-06-28 12:40:07.246608+00:00"
89;8;0;"To-Do Liste";6;"2020-06-28 12:40:07.250325+00:00"
90;8;89;"Große Aufgaben in Teilschritte einteilen";6;"2020-06-28 12:40:07.253452+00:00"
91;8;89;"Prioritäten setzen in To-Do Liste";6;"2020-06-28 12:40:07.256495+00:00"
92;8;89;"Belohnungssystem (Bestrafungs-?)";6;"2020-06-28 12:40:07.259544+00:00"
93;8;90;"To-Do Liste mit ungefähren Zeitangaben ";6;"2020-06-28 12:40:07.262627+00:00"
94;8;90;"To-Do Liste tageweise (morgens erstellen)";6;"2020-06-28 12:40:07.266119+00:00"
220;17;219;"asdfsdaf";12;"2020-06-28 12:40:57.477527+00:00"
225;21;0;"Bachelor fertig machen";13;"2020-07-01 16:25:50.721354+00:00"
230;21;227;"Arbeitsplan erstellen";13;"2020-07-01 16:28:15.160804+00:00"
235;22;0;"Mein Studienziel";13;"2020-07-01 16:32:44.499263+00:00"
240;26;0;"Mein Studienziel";14;"2020-07-03 15:12:30.606197+00:00"
245;27;243;"Freundliche Kollegen ";15;"2020-07-03 15:18:30.634180+00:00"
250;31;0;"Master mit 2.5 oder besser ";16;"2020-07-03 15:29:05.971237+00:00"
255;31;251;"Nicht Bestandes Modul wiederholen ";16;"2020-07-03 15:31:06.382784+00:00"
260;31;254;"Masterarbeit";16;"2020-07-03 15:33:09.604502+00:00"
265;31;252;"Alle offenen Fragen klären ";16;"2020-07-03 15:34:59.830152+00:00"
270;33;0;"Promotion";16;"2020-07-03 15:36:29.090642+00:00"
275;33;272;"Wunschort im betracht ziehen ";16;"2020-07-03 15:38:43.985361+00:00"
284;35;283;"Informationen über Unis einholen";18;"2020-07-03 16:11:25.884070+00:00"
289;36;287;"Vorlesungen nacharbeiten ";19;"2020-07-03 16:33:30.470776+00:00"
294;37;0;"Mein Studienziel";19;"2020-07-03 16:36:43.917149+00:00"
299;40;298;"Master Studium abschließen";20;"2020-07-03 16:58:01.907161+00:00"
95;8;91;"Einteilung in ""dringend"" und ""nötig""";6;"2020-06-28 12:40:07.269283+00:00"
96;8;92;"Erst die Arbeit, dann das Vergnügen";6;"2020-06-28 12:40:07.272396+00:00"
97;8;92;"Recherche";6;"2020-06-28 12:40:07.275562+00:00"
98;8;92;"Rechenschaft gegenüber Freund";6;"2020-06-28 12:40:07.278728+00:00"
99;9;0;"Besseres Zeitmanagement";6;"2020-06-28 12:40:07.281809+00:00"
100;9;99;"Nicht sinnlos prokrastinieren";6;"2020-06-28 12:40:07.284838+00:00"
101;9;99;"Konkreter Zeitrahmen für Arbeit";6;"2020-06-28 12:40:07.287874+00:00"
102;9;100;"""Sinnvoll"" prokrastinieren";6;"2020-06-28 12:40:07.290955+00:00"
103;9;100;"Bewusste Auszeiten nehmen";6;"2020-06-28 12:40:07.294034+00:00"
104;9;101;"Wochenenden einbeziehen";6;"2020-06-28 12:40:07.297137+00:00"
105;9;101;"Kleine Zeiträume nutzen";6;"2020-06-28 12:40:07.300286+00:00"
106;10;0;"Bachelorabschluss";7;"2020-06-28 12:40:07.304160+00:00"
107;10;106;"Pflichtmodule";7;"2020-06-28 12:40:07.307169+00:00"
108;10;106;"VP-Stunden ableisten";7;"2020-06-28 12:40:07.310705+00:00"
109;10;106;"Auslandssemester";7;"2020-06-28 12:40:07.314062+00:00"
110;10;106;"Bachelorarbeit";7;"2020-06-28 12:40:07.317622+00:00"
