"Participant";"age";"semester";"subject";"degree";"timestamp"
18;23;4;"Mathematik";"Master ";"2020-07-03 16:04:31.724297+00:00"
20;28;2;"Geowissenschaften";"Master";"2020-07-03 16:50:19.002850+00:00"
1;;;;;"2020-06-28 12:40:06.980117+00:00"
2;;;;;"2020-06-28 12:40:07.050682+00:00"
4;;;;;"2020-06-28 12:40:07.145627+00:00"
5;;;;;"2020-06-28 12:40:07.194211+00:00"
6;;;;;"2020-06-28 12:40:07.248319+00:00"
7;;;;;"2020-06-28 12:40:07.301998+00:00"
8;;;;;"2020-06-28 12:40:07.372241+00:00"
9;;;;;"2020-06-28 12:40:07.427976+00:00"
19;24;2;"Maschinenbau ";"Master ";"2020-07-03 16:28:27.893428+00:00"
10;;;;;"2020-06-28 12:40:07.505263+00:00"
11;;;;;"2020-06-28 12:40:07.567111+00:00"
0;;;;;"2020-06-28 12:40:07.607169+00:00"
12;0;0;;;"2020-06-28 12:40:32.345704+00:00"
13;28;12;"Cognitive Science";"Bachelor";"2020-07-01 16:23:40.750685+00:00"
14;23;2;"Maschinenbau";"Master";"2020-07-03 15:10:37.276359+00:00"
15;23;3;"Maschinebau";"Master";"2020-07-03 15:15:14.682219+00:00"
16;23;2;"Maschinenbau ";"Master ";"2020-07-03 15:24:36.455755+00:00"
17;25;8;"Geowissenschaften ";"Bachelor ";"2020-07-03 15:55:51.161321+00:00"
