;Depth;Content Specificity ;Time Specificity;Hierarchy - High Level;Hierarchy - Low Level;Network Congruence;Measurability;Approach/ Avoidance Framing;Process Focus;Outcome Focus;Immediate Actionability;Estimated Effort;Plannability;Controllability;Challenge;Defined Subgoals;Social Support;Informational Support;Instrumental Support;Financial Affordance;Visibility;Time Availability;Competence Adequacy;Self-Congruence;Value Congruence;Importance;Awareness;Vitality;Long-Term Utility;Short-Term Utility;Relative Utility;Self- Improvement Utility;Negative Utility
Depth;1.0;0.12975134897787313;-0.0745644848101663;-0.44813197560234047;-0.028836071309765832;-0.03240632268239405;0.26380339910152867;0.0038264546718069876;-0.10329265471436765;-0.018780116376171177;0.04224141512682139;0.16488886364972138;0.19348918925345338;0.1023299998389311;-0.19326317143698116;-0.052676859461266434;-0.15831186659566118;0.046177829960888955;0.03207674744947398;0.060251399036396;-0.14719679960317028;0.08799086297759484;0.044274473878614544;-0.24787520713176278;-0.21421311052218017;-0.2666864695675333;-0.15686974542407597;-0.13043493919369922;-0.26044166002218194;-0.010507451624933464;-0.26374303699784;-0.1361013922778008;0.010517677929640893
Content Specificity ;0.12975134897787313;1.0;0.44563567738426507;-0.05208646750280787;0.18755083229507505;0.0707225084233542;0.6352499047339646;0.20934249721651546;-0.2123443111693314;0.40460606027439633;0.049641187398582844;0.005288549762354913;0.27286415871943226;0.21369758542791517;-0.11920001052454444;0.34099908392454614;0.16103421567748363;0.14299477833645496;0.1633175232272146;-0.025004660144986045;0.32627429562976545;0.13413263179237106;0.10083168272217895;-0.018704713321085142;0.050412372039368956;0.17194445440403813;0.10176249632861513;0.09746178514562713;0.1512728027629801;0.14852427596249937;0.09930810241042694;0.029366921415051643;0.013988305726923554
Time Specificity;-0.0745644848101663;0.44563567738426507;1.0;0.26830888985953505;0.40532495179749456;0.0452020509989747;0.30978947046968763;0.07927210826923223;-0.030945370483871474;0.27339301444561054;0.03575851869942484;-0.18520475361818348;0.047462621565015205;0.22175357539938426;0.07568341599735501;0.1985624334994533;0.27944149414437774;0.08067413488062473;0.21238737009290184;-0.01625874525901835;0.2264826149344938;0.06687018358098924;0.2188674299399183;0.06857715149508485;0.15590623926049793;0.24875755912135022;-0.004139414784127315;0.3141478125772881;0.2925373652398009;0.262114677282158;0.22707483768632206;0.20898047664091435;-0.13966038766999114
Hierarchy - High Level;-0.44813197560234047;-0.05208646750280787;0.26830888985953505;1.0;0.2536339384965388;0.23925023341701723;-0.24046783230861257;0.153890277837964;0.2768306584614281;-0.11651288532682248;0.032489045791573384;-0.5494202375884588;-0.30620238731234295;-0.20598588777369414;0.49718958522676376;0.1960664850717618;0.447222881068669;-0.09444298138595474;-0.07439092676588774;-0.08019333548716272;0.3580514037933409;-0.11880861387606953;0.022328942284006763;0.610340423274298;0.5457783923251437;0.6041011621984022;0.2751461322916141;0.32236879071469793;0.6965687955479453;0.32695685714790174;0.5256269297884779;0.6060153682541929;-0.06337492373370167
Hierarchy - Low Level;-0.028836071309765832;0.18755083229507505;0.40532495179749456;0.2536339384965388;1.0;0.366337399385719;0.09676807861284621;0.1914118115201419;0.039591380070715096;0.05729420469253622;0.2208483191071191;-0.2980985498179511;0.05378128264286806;0.14946467232138233;0.12201502647719342;0.1848104899431673;0.11272245344846651;0.13061843255701353;0.2661208534896352;0.03947442160095549;0.10093461741768794;0.004684350452456982;0.09694241688185598;0.17417888360677616;0.21516251082054486;0.23116435488687492;0.05759165389960127;0.13576072839536052;0.19835339140236996;0.14400258322832213;0.12380518179754312;0.14338948995627845;-0.030994745869552812
Network Congruence;-0.03240632268239405;0.0707225084233542;0.0452020509989747;0.23925023341701723;0.366337399385719;1.0;-0.04810974644764772;0.23321722264345568;0.08982771081444492;-0.32488656245324066;0.36628225701271244;-0.32570056929072166;0.1322184228242386;0.04708142855430958;0.23333391570922418;0.09745074510728478;0.1643641846705573;0.0941758074489467;0.10052058342875704;0.13309711258678672;0.28684667183074314;0.11958222887965377;-0.02511199977215936;0.3404582164340394;0.3532988898117028;0.2971760623241769;0.4613064151861124;0.18720427314059662;0.25473933300335627;-0.007141803963592235;0.022408281034590638;0.2804389440381181;-0.16812970530811672
Measurability;0.26380339910152867;0.6352499047339646;0.30978947046968763;-0.24046783230861257;0.09676807861284621;-0.04810974644764772;1.0;0.1128037964393057;-0.30920769866428593;0.4628096776900521;0.12349893932989443;0.2377701719372153;0.5007879051196141;0.29631221413386905;-0.33281730072740845;0.3214752074155414;-0.01644890060360483;0.2546583454890552;0.18638186772532425;-0.020070770744834474;0.261684448105775;0.1713220783191671;0.12548292696246577;-0.2039673124586542;-0.14774908349774127;-0.15577520170893341;0.09100696521690443;-0.0032157810843004265;-0.07176861897934038;0.04618734045756145;0.020186147720703384;-0.1765965797177381;0.06721996807114392
Approach/ Avoidance Framing;0.0038264546718069876;0.20934249721651546;0.07927210826923223;0.153890277837964;0.1914118115201419;0.23321722264345568;0.1128037964393057;1.0;0.013846128139083086;0.038817308172547915;-0.08396027820346713;-0.2204301718879162;0.007078272249996833;0.10018166122858613;0.08332554731877811;0.1301874391106735;-0.015870088975055072;0.06589313767484536;0.23619416502161913;0.09595839325008558;-0.020813922072440483;0.03093715416131908;0.2355420954889038;0.12491671813599242;0.19748183032507477;0.21171656671910136;0.21716566647953836;0.1099567772606237;0.09955610134305126;-0.011490204506867965;-0.07588376378639415;0.09327498212357045;-0.17748657180524746
Process Focus;-0.10329265471436765;-0.2123443111693314;-0.030945370483871474;0.2768306584614281;0.039591380070715096;0.08982771081444492;-0.30920769866428593;0.013846128139083086;1.0;-0.4947469166511026;0.1131556441679207;-0.24597620276435256;-0.06843165868300016;-0.014221731913588772;0.3426710382177797;-0.09881849881122871;0.2464725965894033;-0.011868606677905928;-0.04301841080188514;-0.12837367491264662;0.174832996797386;-0.15383995005655765;0.006419609557555824;0.2601017636467767;0.239097305085695;0.19545339844234108;-0.0011568475358367848;0.17840942663049233;0.32227728896369295;0.3292809105414344;0.1772794856785485;0.48735808351176985;-0.1641192196809771
Outcome Focus;-0.018780116376171177;0.40460606027439633;0.27339301444561054;-0.11651288532682248;0.05729420469253622;-0.32488656245324066;0.4628096776900521;0.038817308172547915;-0.4947469166511026;1.0;-0.18787136947454736;0.1448301512718763;0.07411592202004584;0.09292381429064946;-0.20116015039542842;0.16145162632553664;0.055380528878852676;-0.009544752104585653;0.07855066080002977;0.08111459190560459;0.0037797375003764365;0.10362865313259695;0.13678580170532162;-0.08985465671877255;-0.05235271931943491;0.03917227557405004;-0.00046304558834418943;0.02107822717224828;-0.06529574255686733;-0.023372078084059826;0.1636236143360471;-0.2096163305529903;0.18547039181356123
