;participant_id;goal_id;goal;tree_id;depth;gcq_1;gcq_4;gcq_8;gcq_9;gcq_10;gcq_12;gcq_14;gcq_16;gcq_18;gcq_19;gcq_21;gcq_24;gcq_29;gcq_30;gcq_32;gcq_34;gcq_36;gcq_37;gcq_38;gcq_42;gcq_44;gcq_45;gcq_46;gcq_49;gcq_51;gcq_56;gcq_59;gcq_60;gcq_62;gcq_64;gcq_66;gcq_67;gcq_71;gcq_73;gcq_74;gcq_76;gcq_78;gcq_80;gcq_83;gcq_85;gcq_86;gcq_87;gcq_90;gcq_93;gcq_95;gcq_96;gcq_99;gcq_101;gcq_105;gcq_107;gcq_109;gcq_111;gcq_112;gcq_113;gcq_116;gcq_118;gcq_119;gcq_122;gcq_124;gcq_126;gcq_129;gcq_130;gcq_132;gcq_134
5542;1127;g_5542;Mein Studienziel;609;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5543;1127;g_5543;Baechlor;609;0.4583333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5544;1127;g_5544;Master;609;0.4583333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5547;1127;g_5547;Kontakte Knüpfen;609;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5548;1127;g_5548;Neue Dinge lernen;609;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5545;1127;g_5545;Semester abschließen;609;0.6666666666666666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5550;1127;g_5550;Kontakte knüpfen;609;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5551;1127;g_5551;mich festlegen;609;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5552;1127;g_5552;Forschungsprojekt;609;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5549;1127;g_5549;Semester abschließen;609;0.6666666666666666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5553;1127;g_5553;Prüfungen bestehen;609;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5554;1127;g_5554;Prüfungen bestehen;609;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5555;1127;g_5555;Kontakte zu verschiedensten Persönlichkeiten und Wissenschaftlern aufbauen.;610;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5556;1127;g_5556;Kontakte zu verschiedensten Persönlichkeiten und Wissenschaftlern aufbauen.;611;0.0;0.25;0.89;0.75;1;0.18;0.73;1;1;1;1;0.16;0.13;0.8;0.31;0.76;0.75;0.27;0.34;0.55;0.63;1;1;1;0.25;0.5;0.81;1;1;0.75;0;1;0;0.75;0.3;0.2;0;0;0.25;0.91;0.5;0.82;0.14;0.25;0.75;0.59;0;0.25;0;0.75;0.07;0.5;0.75;0;1;1;0.77;0.81;0.17;0;0.5;0.74;0.75;0.32;0.28
5546;1127;g_5546;Ins Ausland;609;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5588;1164;g_5588;Pausen (Pomodoro);616;1.0;0.59;0.04;0.66;0.38;0.41;0.03;0.72;0.59;0.09;0.61;0.77;0.75;0.89;0.8;0.34;0.39;0.38;0.61;0.41;0.44;0;0.75;0;0.76;0.92;0;0.28;0.02;0.69;0;0.75;0.25;0.01;0.98;1;0;1;0;0;0.13;0.01;0.66;0.88;0;0.03;0.75;0.74;0.87;0.78;0.34;0;0;0.33;0.61;0.37;0.65;0.82;0.36;0.33;0.19;0.72;0.66;0.08;0.04
5564;1164;g_5564;Mein Studienziel;614;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5565;1164;g_5565;Praxiserfahrung;614;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5566;1164;g_5566;Gute Noten;614;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
