;participant_id;goal_id;goal;gcq_1;gcq_9;gcq_10;gcq_14;gcq_19;gcq_21;gcq_29;gcq_34;gcq_36;gcq_38;gcq_45;gcq_49;gcq_51;gcq_60;gcq_62;gcq_67;gcq_73;gcq_74;gcq_78;gcq_83;gcq_87;gcq_90;gcq_95;gcq_99;gcq_105;gcq_109;gcq_112;gcq_116;gcq_122;gcq_126;gcq_129;gcq_132
737;1164;pg_737;Ich möchte besonders gute Noten haben.;0.75;0.99;0.63;0.75;0.62;0.87;0.99;0.15;1;0.59;0.93;0.97;0.93;0.81;0.24;0.92;0.73;0.77;0.76;0.01;0.66;0.95;0.56;0.81;0.9;0.02;0.44;0.79;0.66;0.5;0.26;0
738;1164;pg_738;Ich möchte Praxiserfahrungen sammeln.;0.75;1;0.26;0.75;0.63;0.66;0.99;0.62;0.69;0.65;0.9;0.99;0.68;0.86;0.57;0.92;0.45;0.56;0.38;0;0.43;0.54;0.35;0.81;0.89;0.02;0.44;0.9;0.76;0.54;1;0
739;1164;pg_739;Ich möchte das Gefühl haben, ein wertvolles Studium zu absolvieren.;0.25;0.74;0.59;0.24;0.74;0.01;1;0.38;0.25;0.58;0.61;0.02;0.11;0.25;1;0.25;0.21;0.03;0.69;0;0.36;0.58;0.59;1;0.85;0.01;0.69;0.41;0.67;0.5;0.74;0
753;1190;pg_753;Ich möchte meine Selbstverantwortung, Eigeninitiative und mein Selbstvertrauen stärken.;0.75;1;1;1;1;0.77;1;1;0;1;0.58;0.42;1;0.9;1;0.99;0.91;1;1;0.31;1;1;1;1;1;0.07;1;1;1;0.4;1;0
754;1190;pg_754;Ich möchte mein Wissen erweitern und Freude daran haben.;0.75;1;1;1;1;0.78;1;1;0;1;0.24;0.58;1;0.39;1;0.82;0.86;1;0.69;0.31;1;1;1;1;1;0;1;1;0.83;0.44;1;0
755;1190;pg_755;Ich möchte zurückblicken und sagen können: Ja, es hat sich gelohnt.;1;1;1;1;1;0.42;1;1;0;1;0.62;0.38;1;0.77;1;0.96;0.83;1;1;0.23;1;1;1;1;1;0;1;1;0.74;0.36;1;0
750;1187;pg_750;gute Noten;1;0.75;1;1;0.8;0.75;1;0.28;0.6;0.78;0.66;1;0.6;0.23;0.17;0.85;0.92;0.82;0.34;0.3;0.72;0.72;0.92;0.83;1;0;0.24;1;1;0.9;0.22;0
751;1187;pg_751;erleben (Spaß, lustige Abenden, Auslandssemster);0.26;0.25;0.26;0.14;0.21;0.3;1;0.82;0;0.39;0.47;0.31;0.45;0.56;0.83;0.66;0.78;0.62;0.1;0.29;0.68;0.71;0.31;0.8;0.92;0;0.64;0.22;0.14;0.12;1;0.37
752;1187;pg_752;Freunde finden, Leute kennenlernen;0.75;0.75;0.63;0.7;0.58;0.59;1;0.45;0;0.33;0.42;0.19;0.37;0.59;0.84;0.59;0.31;0.21;0.8;0.3;0.63;0.69;0.87;0.82;1;0;0.64;0.67;0.66;0.32;0.7;0.2
775;1278;pg_775;Ich möchte viel Lernen für die Zukunft.;0.25;0.75;1;1;0.75;0.22;1;1;0.16;1;1;0.68;1;0.4;0.25;0.93;0.8;1;0.15;0.17;0.75;1;0.95;1;1;0;1;0.69;0.75;0.5;1;0.25
776;1278;pg_776;Ich möchte mich zu einer guten Person entwickeln. ;0;0.25;1;1;0.88;0.06;1;1;0;0.45;1;0.41;0.25;0.91;0.61;0.99;0.38;0.81;0.95;0.16;0.54;0.77;1;1;1;0.25;0.54;0.7;1;0.85;1;0
777;1278;pg_777;Ich möchte meinen Platz im Leben finden. ;0;0.11;1;1;0.76;0.04;1;1;0;0.39;1;0.23;0.25;1;0.77;0.92;0.75;0.81;0.89;0.18;0.54;0.76;1;1;1;0.59;0.79;1;0.75;0.5;1;0
782;1294;pg_782;Mein erstes Ziel wäre, dass Studium nach Regelstudienzeit zu beenden.;1;1;0.8;0.96;0.79;1;1;0.17;1;0.88;0.99;0.93;1;0.5;0;1;1;0.99;0.04;0.14;1;1;1;1;1;0.15;1;1;1;0.94;0.9;0.75
783;1294;pg_783;Mir einen Schwerpunkt auszusuchen, also ich welche Richtung ich irgendwann mal gehen möchte.;1;0.89;1;1;0.85;0.78;1;0.79;0.62;0.47;0.82;0.78;1;0.84;0;0.89;0.85;0.8;0.07;0;0.71;1;1;1;1;0;1;1;1;0.88;1;0
784;1294;pg_784;Über mich hinauswachsen und Erfahrungen sammeln.;0.86;0.75;1;1;1;0.75;1;0.85;0.5;0.57;0.75;0.7;1;0.75;0;1;0.95;0.95;0.25;0.85;0.75;1;1;1;1;0.61;1;1;1;1;1;0.25
785;1292;pg_785;Ich möchte das Wissen der verschiedenen Module verbinden können, um die Psyche ganzheitlich zu sehen.;1;0.25;0.48;1;0.63;0.33;1;0.25;0.44;0.68;0.86;0.4;0.15;0.57;0.76;0.69;0.16;0.74;0.75;0.75;0.75;0.85;0.18;0.99;1;0.75;0.75;0.75;0.33;0.75;0.89;0.65
786;1292;pg_786;Ich möchte mich mit Themen beschäftigen, die mich interessieren.;0.75;0.25;1;0.74;0.53;0.27;1;0.64;0.26;0.53;0.41;0.4;0.75;0.25;0.22;0.78;0.57;0.73;0.75;0.25;0.69;0.67;0.65;0.75;1;0;1;0.45;0.67;0.4;1;0.43
787;1292;pg_787;Ich möchte mich selber nicht zu sehr stressen und mir selber nicht zu viel Druck machen.;0.75;0.75;1;0.99;1;0.25;0;1;0.04;0.75;1;0;0.25;0.68;0;0.77;0.67;0.63;0.75;0.25;0.75;1;1;1;1;0;1;1;0.32;1;1;0.25
804;1328;pg_804;Menschen helfen.;0.62;0.63;1;0.98;0.73;0.54;0.75;0.76;0.5;0.54;0.83;0.63;0.75;0.62;0.54;0.77;0.75;0.73;0.5;0.01;0.7;1;1;1;0.98;0.25;0.82;0.75;0.75;0.99;0.97;0.36
808;1328;pg_808;Wissen und Fertigkeiten erwerben.;0.73;0.73;1;0.97;0.74;0.57;0.75;0.83;0.59;0.7;0.8;0.76;0.75;0.7;0.56;0.75;0.75;0.7;0.5;0.01;0.7;0.75;1;1;0.86;0.26;0.68;0.79;0.57;0.78;0.95;0.36
810;1328;pg_810;Meine berufliche Zukunft sichern.;0.82;0.9;0.56;0.53;0.52;0.8;0.75;0.5;0.5;0.75;0.92;0.75;0.75;0.92;0.35;0.83;0.65;0.62;0.42;0.01;0.61;0.64;0.5;0.56;0.86;0.02;0.43;0.75;0.62;0.69;0.68;0.64
809;1317;pg_809;Über mich selbst hinauswachsen, gerade im Hinblick darauf, mehr auf eigenen Beinen stehen zu können;0.75;0.75;0.75;0.58;0.74;0.25;1;0.85;0.74;0.74;0.75;0.64;0.7;0.92;0.91;0.84;0.85;0.75;0.64;0.23;0.51;0.75;0.25;0.84;1;0.75;0.74;1;0.75;0.25;0.77;0.24
811;1317;pg_811;Neue Freunde kennenlernen und zusammen eine schöne Zeit während und nach dem Studium zu haben;0.75;0.25;0.75;0.25;0.7;0.58;1;0.7;0.73;0.73;0.76;0.65;0.7;0.79;0.9;0.82;0.53;0.7;0.89;0.23;0.49;0.74;0.25;0.84;1;0.75;0.75;0.96;0.75;0.24;0.76;0.24
812;1317;pg_812;Viele neue Dinge lernen, vor allem auf den Themengebieten weiterbilden, für die ich mich schon lange interessiere.;0.75;0.26;0.76;0.99;0.76;0.67;1;0.9;0.73;0.7;0.75;0.63;0.7;0.75;0.88;0.79;0.87;0.75;0.48;0.25;0.52;0.75;0.25;0.83;0.99;0.5;0.75;0.99;0.74;0.25;0.76;0.25
795;1320;pg_795;Ich möchte das für meinen späteren Beruf nötige Praxis-Wissen erwerben und auch halten.;0.76;1;1;1;1;0.49;1;0.75;1;0.74;0.75;0.74;1;0.75;0.5;1;0.25;0.75;0.5;0;0.5;0.75;0.75;1;1;0;0.75;1;1;1;1;0.5
796;1320;pg_796;Ich möchte die Dinge um mich herum in voller Gänze verstehen.;0.75;0.75;1;0.75;1;0.25;1;1;0.75;0.5;1;0.75;1;0.75;0.25;1;0.5;0.75;0.5;0.25;0.25;0.75;1;1;0.75;0;0.75;0.5;0.5;0.5;1;0.5
797;1320;pg_797;Ich möchte fehlende Kompetenzen und Wissenslücken ausbessern.;0.75;0.75;1;1;1;0.25;1;0.76;0.75;0.75;0.75;0.75;1;0.75;0.25;1;0.5;0.75;0.5;0;0.5;0.75;0.75;1;1;0;0.75;0.75;0.75;0.75;1;0.5
801;1324;pg_801;Sehr viel Wissen über meine Interessenbereiche sammeln.;0.75;0.76;0.75;0.5;0.75;0.67;1;0.25;0;1;1;0.75;1;0.25;0;1;1;1;0.75;0;1;1;0.75;1;1;0;0.5;1;1;0.5;0.5;0
