;participant_id;goal_id;personal_goal_id;goal;pre_gcq_1;post_gcq_1;pre_gcq_9;post_gcq_9;pre_gcq_10;post_gcq_10;pre_gcq_14;post_gcq_14;pre_gcq_19;post_gcq_19;pre_gcq_21;post_gcq_21;pre_gcq_29;post_gcq_29;pre_gcq_34;post_gcq_34;pre_gcq_36;post_gcq_36;pre_gcq_38;post_gcq_38;pre_gcq_45;post_gcq_45;pre_gcq_49;post_gcq_49;pre_gcq_51;post_gcq_51;pre_gcq_60;post_gcq_60;pre_gcq_62;post_gcq_62;pre_gcq_67;post_gcq_67;pre_gcq_73;post_gcq_73;pre_gcq_74;post_gcq_74;pre_gcq_78;post_gcq_78;pre_gcq_83;post_gcq_83;pre_gcq_87;post_gcq_87;pre_gcq_90;post_gcq_90;pre_gcq_95;post_gcq_95;pre_gcq_99;post_gcq_99;pre_gcq_105;post_gcq_105;pre_gcq_109;post_gcq_109;pre_gcq_112;post_gcq_112;pre_gcq_116;post_gcq_116;pre_gcq_122;post_gcq_122;pre_gcq_126;post_gcq_126;pre_gcq_129;post_gcq_129;pre_gcq_132;post_gcq_132
5573;1164;5573;737;Ich möchte besonders gute Noten haben.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5532;1125;5532;723;Mich breit bilden um die genaue Richtung zu finden, die mir am meisten zusagt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5561;1141;5561;728;1. Sehr gute Noten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5585;1163;5585;736;Ich spiele mit dem Gedanken zu promovieren und hoffe, dass mich die Arbeit an der Master-Thesis in dem Wunsch bestärkt. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5623;1190;5623;755;Ich möchte zurückblicken und sagen können: Ja, es hat sich gelohnt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5669;1211;5669;760;Strukturierter Arbeiten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5697;1227;5697;768;Das ich mir selbst Arbeitsstrukturen aufgebaut habe, die gut für meine mentale Gesundheit und Produktivität sind.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5686;1226;5686;763;Ich möchte mein Studium gut abschließen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5728;1274;5728;772;Anknüpfung zur Praxis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5746;1278;5746;775;Ich möchte viel Lernen für die Zukunft.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5789;1294;5789;784;Über mich hinauswachsen und Erfahrungen sammeln.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5802;1292;5802;787;Ich möchte mich selber nicht zu sehr stressen und mir selber nicht zu viel Druck machen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
