;item_id;questionnaire;code;text;latent_variable;answers;participant;created;given_answer;reverse_coded;personal_goal;goal_id;goal
889;889;goal_characteristics_questionnaire_item_28;gcq_150;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel ist wichtig für meine Zukunft. (28/32)</p>";langfristige Utilität;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:31.372028+00:00;0.5;False;;408;Test 1
862;862;goal_characteristics_questionnaire_item_1;gcq_1;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel hat ein klar definiertes Ergebnis oder einen klar definierten Endzustand. (1/32)</p>";inhaltliche Spezifizität;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:35:27.591843+00:00;0.5;False;;408;Test 1
863;863;goal_characteristics_questionnaire_item_2;gcq_10;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel sollte zu einem bestimmten Zeitpunkt erreicht sein. (2/32)</p>";zeitliche Spezifizität;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:35:31.265562+00:00;0.5;False;;408;Test 1
864;864;goal_characteristics_questionnaire_item_3;gcq_16;"<p style='font-weight: bold;font-size: x-large;'>
                                        Um dieses Ziel zu erreichen, muss ich viele Teilziele erreichen. (3/32)</p>";hohe Position in Zielhierarchie;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:35:34.418665+00:00;0.5;False;;408;Test 1
865;865;goal_characteristics_questionnaire_item_4;gcq_19;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel ist ein Schritt in Richtung eines größeren Ziels. (4/32)</p>";niedrige Position in Zielhierarchie;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:35:37.165610+00:00;0.5;False;;408;Test 1
866;866;goal_characteristics_questionnaire_item_5;gcq_22;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel hängt mit anderen Zielen zusammen, an denen ich derzeit in meinem Leben arbeite. (5/32)</p>";Kongruenz zu Zielnetzwerk;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:35:39.659385+00:00;0.5;False;;408;Test 1
867;867;goal_characteristics_questionnaire_item_6;gcq_25;"<p style='font-weight: bold;font-size: x-large;'>
                                        Es ist einfach zu verfolgen wie weit ich von diesem Ziel entfernt bin. (6/32)</p>";Messbarkeit;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:35:42.203837+00:00;0.5;False;;408;Test 1
868;868;goal_characteristics_questionnaire_item_7;gcq_33;"<p style='font-weight: bold;font-size: x-large;'>
                                        Bei diesem Ziel geht es um etwas, das ich möchte, und nicht um etwas, das ich vermeiden möchte. (7/32)</p>";Annähern vs. Vermeiden;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:35:44.283999+00:00;0.5;False;;408;Test 1
870;870;goal_characteristics_questionnaire_item_9;gcq_52;"<p style='font-weight: bold;font-size: x-large;'>
                                        Bei diesem Ziel konzentriere ich mich mehr auf den Prozess als auf sein Ergebnis. (9/32)</p>";Prozessorientierung vs. Ergebnisorientierung;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:35:50.363514+00:00;0.5;False;;408;Test 1
871;871;goal_characteristics_questionnaire_item_10;gcq_58;"<p style='font-weight: bold;font-size: x-large;'>
                                        Etwas anderes muss noch passieren, bevor ich an diesem Ziel arbeiten kann. (10/32)</p>";unmittelbare Umsetzbarkeit;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:35:52.594973+00:00;0.5;True;;408;Test 1
873;873;goal_characteristics_questionnaire_item_12;gcq_64;"<p style='font-weight: bold;font-size: x-large;'>
                                        Es ist schwer einen Plan zu erstellen, um dieses Ziel zu erreichen. (12/32)</p>";Planbarkeit;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:35:56.780551+00:00;0.5;False;;408;Test 1
874;874;goal_characteristics_questionnaire_item_13;gcq_78;"<p style='font-weight: bold;font-size: x-large;'>
                                        Ob ich dieses Ziel erreichen kann oder nicht, hängt von Dingen außerhalb meiner Kontrolle ab. (13/32)</p>";Kontrollierbarkeit;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:35:58.876075+00:00;0.5;False;;408;Test 1
875;875;goal_characteristics_questionnaire_item_14;gcq_82;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel bringt mich aus meiner Komfortzone. (14/32)</p>";Anspruch;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:00.731454+00:00;0.5;False;;408;Test 1
876;876;goal_characteristics_questionnaire_item_15;gcq_88;"<p style='font-weight: bold;font-size: x-large;'>
                                        Ich habe Teilziele oder Schritte in Richtung dieses Ziels festgelegt. (15/32)</p>";definierte Teilziele;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:02.700201+00:00;0.5;False;;408;Test 1
877;877;goal_characteristics_questionnaire_item_16;gcq_92;"<p style='font-weight: bold;font-size: x-large;'>
                                        Andere Leute ermutigen mich, dieses Ziel weiter zu verfolgen. (16/32)</p>";soziale Unterstützung;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:04.993171+00:00;0.5;True;;408;Test 1
878;878;goal_characteristics_questionnaire_item_17;gcq_98;"<p style='font-weight: bold;font-size: x-large;'>
                                        Ich habe die notwendigen Informationen um an diesem Ziel zu arbeiten. (17/32)</p>";informationale Voraussetzungen;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:07.361112+00:00;0.5;True;;408;Test 1
879;879;goal_characteristics_questionnaire_item_18;gcq_101;"<p style='font-weight: bold;font-size: x-large;'>
                                        Ich habe die notwendigen Materialien und Ausrüstung, um dieses Ziel zu erreichen. (18/32)</p>";instrumentelle Voraussetzungen;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:10.188609+00:00;0.5;False;;408;Test 1
880;880;goal_characteristics_questionnaire_item_19;gcq_108;"<p style='font-weight: bold;font-size: x-large;'>
                                        Ich kann mir die Kosten für die Erreichung dieses Ziels finanziell leisten. (19/32)</p>";Finanzierbarkeit;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:12.090974+00:00;0.5;True;;408;Test 1
881;881;goal_characteristics_questionnaire_item_20;gcq_114;"<p style='font-weight: bold;font-size: x-large;'>
                                        Mein Fortschritt in Richtung dieses Ziels ist für andere beobachtbar. (20/32)</p>";Sichtbarkeit;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:15.617331+00:00;0.5;False;;408;Test 1
882;882;goal_characteristics_questionnaire_item_21;gcq_116;"<p style='font-weight: bold;font-size: x-large;'>
                                        Ich bin mir nicht sicher, ob ich genug Zeit habe, um an diesem Ziel zu arbeiten. (21/32)</p>";zeitliche Ressourcen;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:17.746933+00:00;0.5;False;;408;Test 1
883;883;goal_characteristics_questionnaire_item_22;gcq_69;"<p style='font-weight: bold;font-size: x-large;'>
                                        Ich habe alle notwendigen Fertigkeiten, um dieses Ziel zu erreichen. (22/32)</p>";Kompetenzangemessenheit;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:19.602650+00:00;0.5;True;;408;Test 1
884;884;goal_characteristics_questionnaire_item_23;gcq_124;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel stimmt mit meinem Lebensgefühl überein. (23/32)</p>";Sellbstkongruenz;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:21.497654+00:00;0.5;False;;408;Test 1
885;885;goal_characteristics_questionnaire_item_24;gcq_130;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel ist in Übereinstimmung mit meinem idealen Selbst. (24/32)</p>";Wertekongruenz;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:23.458377+00:00;0.5;False;;408;Test 1
886;886;goal_characteristics_questionnaire_item_25;gcq_134;"<p style='font-weight: bold;font-size: x-large;'>
                                        Das Erreichen dieses Ziels ist mir wichtig. (25/32)</p>";Wichtigkeit;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:25.406721+00:00;0.5;False;;408;Test 1
887;887;goal_characteristics_questionnaire_item_26;gcq_141;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel wurde mir kürzlich erst bewusst. (26/32)</p>";Bewusstheit;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:27.095048+00:00;0.5;True;;408;Test 1
888;888;goal_characteristics_questionnaire_item_27;gcq_144;"<p style='font-weight: bold;font-size: x-large;'>
                                        Ich fühle mich voller Energie und Lebendigkeit, wenn ich über dieses Ziel nachdenke. (27/32)</p>";Vitalität/Vigor;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:29.497419+00:00;0.5;False;;408;Test 1
890;890;goal_characteristics_questionnaire_item_29;gcq_;"<p style='font-weight: bold;font-size: x-large;'>
                                        Das Erreichen dieses Ziels hat auch negative Folgen. (29/32)</p>";negative Utilität;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:33.008809+00:00;0.5;False;;408;Test 1
891;891;goal_characteristics_questionnaire_item_30;gcq_158;"<p style='font-weight: bold;font-size: x-large;'>
                                        Wenn ich dieses Ziel erreiche, wird es sich sofort auszahlen. (30/32)</p>";kurzfristige Utilität;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:34.801651+00:00;0.5;False;;408;Test 1
892;892;goal_characteristics_questionnaire_item_31;gcq_163;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel hat viele Vorzüge gegenüber meinen anderen Zielen. (31/32)</p>";relative Utilität;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:36.569059+00:00;0.5;False;;408;Test 1
893;893;goal_characteristics_questionnaire_item_32;gcq_166;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel wird mir helfen als Person zu wachsen. (32/32)</p>";Utilität für persönliches Wachstum;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:36:38.898921+00:00;0.5;False;;408;Test 1
869;869;goal_characteristics_questionnaire_item_8;gcq_39;"<p style='font-weight: bold;font-size: x-large;'>
                                        Bei diesem Ziel geht es eher darum, einen Zustand aufrechtzuerhalten, als darum, einen Zustand einmal zu erreichen. (8/32)</p>";Erhalten vs. Erreichen;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:35:48.053298+00:00;0.5;True;;408;Test 1
872;872;goal_characteristics_questionnaire_item_11;gcq_62;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel zu erreichen wird ziemliche Anstrengungen erfordern. (11/32)</p>";geschätzter Aufwand;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];45;2021-11-05 07:35:54.618080+00:00;0.5;True;;408;Test 1
894;894;goal_characteristics_questionnaire_item_1;gcq_1;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel hat ein klar definiertes Ergebnis oder einen klar definierten Endzustand. (1/32)</p>";inhaltliche Spezifizität;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];73;2021-11-08 15:59:10.415092+00:00;0.25;False;;441;Selbstsicherheit
895;895;goal_characteristics_questionnaire_item_1;gcq_1;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel hat ein klar definiertes Ergebnis oder einen klar definierten Endzustand. (1/32)</p>";inhaltliche Spezifizität;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];73;2021-11-08 15:59:10.427770+00:00;1;False;;443;artz
896;896;goal_characteristics_questionnaire_item_1;gcq_1;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel hat ein klar definiertes Ergebnis oder einen klar definierten Endzustand. (1/32)</p>";inhaltliche Spezifizität;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];73;2021-11-08 15:59:10.436969+00:00;1;False;;442;karte fertig machen
897;897;goal_characteristics_questionnaire_item_1;gcq_1;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel hat ein klar definiertes Ergebnis oder einen klar definierten Endzustand. (1/32)</p>";inhaltliche Spezifizität;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];73;2021-11-08 15:59:10.448585+00:00;0.74;False;;446;schwimmen
898;898;goal_characteristics_questionnaire_item_1;gcq_1;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel hat ein klar definiertes Ergebnis oder einen klar definierten Endzustand. (1/32)</p>";inhaltliche Spezifizität;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];73;2021-11-08 15:59:10.457214+00:00;1;False;;444;foto
899;899;goal_characteristics_questionnaire_item_1;gcq_1;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel hat ein klar definiertes Ergebnis oder einen klar definierten Endzustand. (1/32)</p>";inhaltliche Spezifizität;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];73;2021-11-08 15:59:10.466394+00:00;1;False;;445;suche
900;900;goal_characteristics_questionnaire_item_2;gcq_10;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel sollte zu einem bestimmten Zeitpunkt erreicht sein. (2/32)</p>";zeitliche Spezifizität;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];73;2021-11-08 15:59:46.381987+00:00;0.5;False;;441;Selbstsicherheit
901;901;goal_characteristics_questionnaire_item_2;gcq_10;"<p style='font-weight: bold;font-size: x-large;'>
                                        Dieses Ziel sollte zu einem bestimmten Zeitpunkt erreicht sein. (2/32)</p>";zeitliche Spezifizität;['Stimme überhaupt nicht zu', 'Stimme nicht zu', 'Stimme weder zu noch lehne ab', 'Simme zu', 'Stimme voll und ganz zu'];73;2021-11-08 15:59:46.392489+00:00;1;False;;443;artz
