;participant;sunburst;treemap;dendrogram;circlepacking
0;0;2;1;4;3
1;1;4;3;2;1
2;2;3;4;1;2
3;3;3;1;2;4
4;4;2;1;3;4
5;5;2;1;4;3
6;6;3;2;1;4
7;7;4;3;1;2
8;8;1;3;2;4
9;9;2;4;1;3
10;10;4;3;2;1
11;11;4;3;1;2
12;12;3;4;1;2
13;13;3;4;1;2
14;14;3;4;1;2
15;15;2;4;3;1
16;16;4;1;2;3
17;17;3;4;2;1
18;18;4;2;1;3
19;19;2;4;1;3
20;20;3;1;2;4
21;21;4;2;1;3
22;22;4;2;3;1
23;23;2;4;1;3
24;24;4;3;1;2
25;25;3;4;1;2
26;26;4;3;1;2
27;27;4;3;2;1
28;28;2;4;1;3
29;29;2;1;4;3
30;30;4;3;1;2
31;31;1;3;2;4
32;32;1;4;3;2
33;33;1;3;4;2
34;34;4;1;2;3
35;35;2;4;1;3
36;36;1;2;3;4
37;37;2;4;1;3
38;38;1;4;2;3
39;39;3;4;1;2
40;40;2;4;1;3
41;41;2;3;1;4
42;42;3;2;1;4
43;43;3;1;2;4
44;44;4;3;1;2
45;45;2;4;1;3
46;46;4;3;2;1
47;47;2;4;1;3
48;48;1;4;2;3
49;49;4;3;1;2
50;50;2;4;3;1
51;51;4;2;3;1
52;52;3;1;4;2
53;53;3;2;4;1
54;54;4;2;1;3
55;55;2;3;1;4
56;56;2;3;1;4
57;57;2;4;1;3
58;58;3;4;1;2
59;59;4;2;3;1
60;60;2;4;1;3
61;61;4;3;1;2
62;62;2;4;1;3
63;63;2;4;1;3
64;64;1;3;4;2
65;65;4;2;1;3
66;66;2;3;1;4
67;67;1;4;3;2
68;68;4;3;2;1
69;69;2;3;1;4
70;70;2;4;1;3
71;71;2;4;1;3
72;72;2;4;1;3
73;73;3;4;1;2
74;74;2;1;3;4
75;75;3;2;1;4
76;76;3;4;1;2
77;77;1;2;3;4
78;78;4;3;1;2
79;79;3;1;2;4
80;80;3;4;2;1
81;81;3;4;1;2
82;82;4;2;1;3
83;83;2;3;1;4
84;84;3;4;2;1
85;85;3;4;1;2
86;86;3;2;1;4
87;87;2;1;4;3
88;88;3;1;2;4
89;89;4;2;1;3
90;90;4;1;2;3
91;91;3;4;1;2
92;92;4;2;1;3
93;93;4;1;3;2
94;94;4;3;2;1
95;95;3;2;1;4
96;96;3;1;2;4
97;97;1;4;2;3
98;98;3;2;1;4
99;99;1;3;4;2
100;100;3;2;1;4
101;101;1;2;3;4
102;102;3;2;4;1
103;103;2;4;1;3
104;104;2;1;4;3
105;105;3;4;1;2
106;106;4;3;1;2
107;107;3;4;1;2
108;108;1;4;2;3
109;109;4;1;2;3
110;110;4;3;1;2
111;111;4;3;1;2
112;112;4;1;2;3
113;113;3;4;1;2
114;114;4;3;1;2
115;115;1;4;2;3
116;116;4;1;2;3
117;117;3;1;2;4
118;118;2;3;1;4
119;119;3;1;2;4
